ImageName,ImageSize,TTX,OutputReported,Seals,UnitID
"""WV03_20180107051245_10400100371ABB00_18JAN07051245-P1BS-501968375010_01_P002_u08rf3031.tif"".tif",1592,257.7323000431061,136.0,110,3404
"""WV03_20171016125045_1040010034323300_17OCT16125045-P1BS-501989207060_01_P006_u08rf3031.tif"".tif",621,144.34759998321533,54.0,0,5102
"""WV03_20171204204427_1040010036202100_17DEC04204427-P1BS-501953986080_01_P008_u08rf3031.tif"".tif",1415,299.41250014305115,189.0,0,3590
"""WV03_20171230044558_1040010036D44200_17DEC30044558-P1BS-501968325080_01_P001_u08rf3031.tif"".tif",1489,161.4921998977661,58.0,1,5078
"""WV03_20171020090104_1040010034832100_17OCT20090104-P1BS-501862227060_01_P009_u08rf3031.tif"".tif",1784,246.0944001674652,142.0,1,3924
"""WV03_20171201115544_104001003607B300_17DEC01115544-P1BS-501934403050_01_P007_u08rf3031.tif"".tif",1836,206.26629996299744,100.0,0,3953
"""WV03_20171208133556_104001003418F800_17DEC08133556-P1BS-501896789070_01_P004_u08rf3031.tif"".tif",1149,255.87739992141724,128.0,16,3509
"""WV03_20170905231339_1040010032CDF100_17SEP05231339-P1BS-501603156060_01_P001_u08rf3031.tif"".tif",1039,148.13459992408752,54.0,0,4220
"""WV03_20170924102335_10400100334E5200_17SEP24102335-P1BS-501946291100_01_P004_u08rf3031.tif"".tif",1650,216.94600009918213,123.0,0,4257
"""WV03_20171027122838_1040010033354400_17OCT27122838-P1BS-501896680100_01_P001_u08rf3031.tif"".tif",1110,155.728600025177,58.0,0,5545
"""WV03_20170903143658_10400100334E5000_17SEP03143658-P1BS-501603159030_01_P009_u08rf3031.tif"".tif",760,160.53630018234253,57.0,0,5532
"""WV03_20171212095738_10400100364CEB00_17DEC12095738-P1BS-501954086050_01_P001_u08rf3031.tif"".tif",1716,172.7814998626709,77.0,8,5968
"""WV03_20171018132444_1040010033539600_17OCT18132444-P1BS-501862013090_01_P008_u08rf3031.tif"".tif",1288,148.0910999774933,54.0,0,5448
"""WV03_20170925184443_104001003243ED00_17SEP25184443-P1BS-501946233030_01_P006_u08rf3031.tif"".tif",1950,178.26189994812012,74.0,0,5986
"""WV03_20171016160507_104001003597C700_17OCT16160507-P1BS-501862249060_01_P003_u08rf3031.tif"".tif",1709,183.67499995231628,70.0,32,5812
"""WV03_20171129175044_10400100358FFC00_17NOV29175044-P1BS-501932181010_01_P003_u08rf3031.tif"".tif",1406,200.80419993400574,83.0,3,5865
"""WV03_20170922130303_1040010032560E00_17SEP22130303-P1BS-501946238010_01_P001_u08rf3031.tif"".tif",552,440.36619997024536,340.0,0,3139
"""WV03_20170927012606_1040010032B64500_17SEP27012606-P1BS-501946253100_01_P002_u08rf3031.tif"".tif",2186,239.16890001296997,138.0,3,3693
"""WV03_20171219180621_1040010036BBC300_17DEC19180621-P1BS-501968307050_01_P004_u08rf3031.tif"".tif",970,172.83929991722107,62.0,21,5201
"""WV03_20171005033006_1040010035902700_17OCT05033006-P1BS-501862247020_01_P006_u08rf3031.tif"".tif",1938,206.2283000946045,99.0,4,3707
"""WV03_20180105124652_1040010037C32200_18JAN05124652-P1BS-501954114090_01_P003_u08rf3031.tif"".tif",1818,269.3202998638153,171.0,50,5395
"""WV03_20170818134207_104001003107D400_17AUG18134207-P1BS-501667684090_01_P005_u08rf3031.tif"".tif",804,150.85630011558533,56.0,0,3770
"""WV03_20170905101702_104001003283AB00_17SEP05101702-P1BS-501603149020_01_P003_u08rf3031.tif"".tif",1028,157.1324999332428,55.0,0,5276
"""WV03_20171216185648_10400100360FDA00_17DEC16185648-P1BS-501934409080_01_P006_u08rf3031.tif"".tif",1296,162.26129984855652,72.0,47,5298
"""WV03_20171027140219_1040010034574400_17OCT27140219-P1BS-501917434030_01_P002_u08rf3031.tif"".tif",893,225.12920022010803,114.0,0,4564
"""WV03_20171114041059_1040010035483100_17NOV14041059-P1BS-501922416070_01_P006_u08rf3031.tif"".tif",2129,169.54060006141663,70.0,62,4949
